year,officers
1999,3466
2000,3628
2001,3616
2002,3637
2003,3664
2004,3800
2005,3801
2006,3800
2007,3910
2008,4051
2009,4032
2010,3961
2011,3801
2012,3899
2013,4010
2014,3972
2015,3837
2016,3737
2017,3821
2018,3855
2019,3810
2020,3799
2021,3580
2022,3460
2023,3386
